번호,사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,상세코드,위도,경도,COL1,COL2
40,블루파크,경기도 포천시 화현면 명덕리 179-1,경기도 포천시 화현면 봉화로 267,11125,lake,caravan,pet,3,302,37.8723616,127.2784102,,
41,푸른섬 캠핑장,경기도 안산시 단원구 대부북동 1865-63,경기도 안산시 단원구 연목이길 31-21 (대부북동),15640,mountain,camping,family,3,308,37.258289,126.5731267,,
42,(주)하늘마음바이오 홍천지점 알파카스테이,강원도 홍천군 화촌면 풍천리 107-2번지,강원도 홍천군 화촌면 가락재로 206,25156,river,glamping,couple,4,414,37.8332545,127.8882651,,
43,용추솔밭관광농원,경상남도 함양군 안의면 상원리 757-19 관광농원,경상남도 함양군 안의면 용추계곡로 494-6,50005,sea,easycamping,kids,17,1717,35.6748198,127.7739851,,
44,달콤이네 캠핑장,강원도 원주시 문막읍 취병리 358번지,강원도 원주시 문막읍 취병로 106,26360,lake,caravan,pet,4,408,37.3111808,127.800606,,
45,대부관광농원 오캠핑,경기도 안산시 단원구 대부남동 647-1,경기도 안산시 단원구 대남로 642 (대부남동),15653,mountain,camping,family,3,308,37.2300463,126.5802849,,
46,하와이언캠프,인천광역시 옹진군 영흥면 내리 1327번지,인천광역시 옹진군 영흥면 영흥서로446번길 46,23117,river,glamping,couple,2,202,37.2688539,126.4708583,,
47,새연 글램핑 카라반 설악2호점,경기도 가평군 설악면 회곡리 24-2,경기도 가평군 설악면 유명로 1939-26,12459,lake,caravan,pet,3,301,37.6831942,127.4702712,,
48,두레캠핑장,경기도 가평군 청평면 상천리 1494번지 두레마을휴양림,경기도 가평군 청평면 상지로 171,12449,mountain,camping,family,3,301,37.7686813,127.4700681,,
49,마로니에숲 캠핑장,충청북도 옥천군 이원면 장찬리 145-9,충청북도 옥천군 이원면 장찬길 159-73,29061,river,glamping,couple,8,805,36.2451224,127.5941999,,
50,갈릴리 야영장,경기도 평택시 안중읍 학현리 129-10번지,경기도 평택시 안중읍 안중북로 119,17816,sea,easycamping,kids,3,320,36.9916333,126.9071514,,
51,황산도캠핑장,인천광역시 강화군 길상면 초지리 1328-2번지 대나무집,인천광역시 강화군 길상면 해안남로65번길 36-15,23052,lake,caravan,pet,2,201,37.6223499,126.5385599,,
52,대가야캠프타운,경상북도 고령군 운수면 신간리 465,경상북도 고령군 운수면 물한1길 78-8,40123,mountain,camping,family,16,1603,35.7956332,128.3159878,,
53,숲속의 작은집,강원도 영월군 무릉도원면 두산리 산 175,강원도 영월군 무릉도원면 새막골길 133,26200,river,glamping,couple,4,420,37.3173996,128.1646503,,
54,월드니스 오토캠핑장,강원도 영월군 무릉도원면 도원리 795-1,강원도 영월군 무릉도원면 도원운학로 475-10,26201,sea,easycamping,kids,4,420,37.3001573,128.221309,,
55,외룡송어회 캠핑장,강원도 영월군 김삿갓면 외룡리 651-1번지,강원도 영월군 김삿갓면 직실길 7,26247,lake,caravan,pet,4,420,37.1167026,128.6423741,,
56,넵투누스 카라반,경기도 가평군 청평면 고성리 25-1,경기도 가평군 청평면 고재길 262-123,12456,mountain,camping,family,3,301,37.7000527,127.5172798,,
57,시공간,전라남도 여수시 남면 유송리 702번지,전라남도 여수시 남면 솔고지길 105,59785,river,glamping,couple,11,1112,34.5475652,127.7262263,,
58,풀앤밸리야영장,강원도 양양군 현북면 원일전리 34-1번지,강원도 양양군 현북면 남대천로 1352,25049,sea,easycamping,kids,4,404,37.9935081,128.6524927,,
59,프렌즈캠핑장,충청북도 제천시 청풍면 도곡리 92번지,충청북도 제천시 청풍면 청풍명월로 869-9,27214,lake,caravan,pet,8,807,37.0043945,128.1328006,,
60,파라다이스캠프,강원도 영월군 무릉도원면 법흥리 137번지,강원도 영월군 무릉도원면 무릉법흥로 1128-10,26201,mountain,camping,family,4,420,37.3571384,128.2786679,,
61,병목안캠핑장,경기도 안양시 만안구 안양동 산 81-6번지,경기도 안양시 만안구 병목안로247번길 35,430010,river,glamping,couple,3,324,37.3822113,126.9101975,,
62,뉴욕카라반,강원도 속초시 대포동 478-7번지,강원도 속초시 동해대로 3847-7 (대포동),24900,sea,easycamping,kids,4,417,38.1782568,128.6016618,,
63,용소캠핑장,경기도 가평군 북면 도대리 335-3번지,경기도 가평군 북면 가화로 2411-32,12401,lake,caravan,pet,3,301,37.9546312,127.4732062,,
64,용담댐 오토캠핑장,전라북도 진안군 안천면 삼락리 1058-2번지,전라북도 진안군 안천면 안용로 539,55406,mountain,camping,family,9,913,35.9366772,127.5297622,,
65,우리두리 캠핑장,강원도 영월군 무릉도원면 법흥리 522,강원도 영월군 무릉도원면 백년계곡길 11,26201,river,glamping,couple,4,420,37.3660305,128.2720895,,
66,정화네불한증막 힐링캠프,전라북도 정읍시 고부면 신중리 305-18,전라북도 정읍시 고부면 덕신강길 148-4,56152,sea,easycamping,kids,9,912,35.6015147,126.7616626,,
67,유수암 캠핑장,제주특별자치도 제주시 애월읍 유수암리 2994,제주특별자치도 제주시 애월읍 하소로 684-25,63067,lake,caravan,pet,18,1801,33.422314,126.3939899,,
68,코코캠핑,충청북도 충주시 대소원면 탄용리 632-5,충청북도 충주시 대소원면 외동길 192,27473,mountain,camping,family,8,810,36.919742,127.8417206,,
